customer_id,customer_segment,total_transactions,successful_transactions,failed_transactions,average_transaction_value,lifetime_value,preferred_payment_method,previous_recovery_successes,previous_recovery_failures
C0027,NORMAL,8,6,2,1951.99,11711.94,CARD,1,1
C0028,NORMAL,18,14,4,6165.89,86322.46,WALLET,2,2
C0029,NORMAL,19,15,4,5526.59,82898.85,UPI,2,2
C0030,NORMAL,8,6,2,6976.25,41857.5,NETBANKING,1,1
C0031,NORMAL,15,12,3,1559.75,18717.0,WALLET,1,2
C0032,RELIABLE,5,4,1,9561.25,38245.0,NETBANKING,0,1
C0033,RISKY,29,17,12,2197.19,37352.23,UPI,4,8
C0034,RISKY,14,8,6,8495.86,67966.88,CARD,2,4
C0035,RELIABLE,29,26,3,2034.72,52902.72,UPI,2,1
C0036,NORMAL,20,16,4,685.03,10960.48,NETBANKING,2,2
C0037,RISKY,30,18,12,3421.38,61584.84,UPI,4,8
C0038,RELIABLE,23,21,2,9496.02,199416.42,UPI,1,1
C0039,NORMAL,7,5,2,9790.85,48954.25,CARD,1,1
C0040,RELIABLE,20,18,2,9495.06,170911.08,CARD,1,1
C0041,RELIABLE,24,22,2,4519.81,99435.82,CARD,1,1
C0042,RISKY,29,17,12,7434.35,126383.95,CARD,4,8
C0043,NORMAL,17,13,4,9953.92,129400.96,NETBANKING,2,2
C0044,NORMAL,21,16,5,4789.12,76625.92,CARD,3,2
C0045,RELIABLE,15,13,2,699.83,9097.79,CARD,1,1
C0046,NORMAL,5,4,1,1174.43,4697.72,UPI,0,1
C0047,RELIABLE,6,5,1,8666.54,43332.7,UPI,0,1
C0048,NORMAL,13,10,3,6855.29,68552.9,CARD,1,2
C0049,NORMAL,28,22,6,9387.39,206522.58,WALLET,3,3
C0050,RELIABLE,20,18,2,8171.22,147081.96,CARD,1,1
C0051,RELIABLE,26,23,3,4594.99,105684.77,WALLET,2,1
C0052,NORMAL,28,22,6,1014.63,22321.86,UPI,3,3
C0053,RELIABLE,28,25,3,3723.37,93084.25,UPI,2,1
C0054,RELIABLE,11,10,1,5594.71,55947.1,CARD,0,1
C0055,NORMAL,13,10,3,4894.97,48949.7,UPI,1,2
C0056,NORMAL,22,17,5,1430.13,24312.21,UPI,3,2
C0057,RISKY,29,17,12,8562.61,145564.37,CARD,4,8
C0058,NORMAL,20,16,4,2530.6,40489.6,WALLET,2,2
C0059,RISKY,10,6,4,4100.24,24601.44,WALLET,1,3
C0060,RELIABLE,30,27,3,7958.73,214885.71,NETBANKING,2,1
C0061,NORMAL,28,22,6,9956.52,219043.44,WALLET,3,3
C0062,RELIABLE,14,12,2,2568.16,30817.92,UPI,1,1
C0063,NORMAL,22,17,5,1079.1,18344.7,NETBANKING,3,2
C0064,RELIABLE,23,21,2,5029.49,105619.29,CARD,1,1
C0065,RELIABLE,21,19,2,1261.06,23960.14,CARD,1,1
C0066,RELIABLE,7,6,1,6914.52,41487.12,CARD,0,1
C0067,NORMAL,23,18,5,2839.05,51102.9,UPI,3,2
C0068,NORMAL,18,14,4,6745.05,94430.7,NETBANKING,2,2
C0069,RISKY,11,6,5,6862.4,41174.4,NETBANKING,1,4
C0070,RELIABLE,17,15,2,1743.34,26150.1,NETBANKING,1,1
C0071,NORMAL,29,23,6,9389.48,215958.04,UPI,3,3
C0072,NORMAL,23,18,5,9962.92,179332.56,UPI,3,2
C0073,NORMAL,21,16,5,3019.4,48310.4,NETBANKING,3,2
C0074,RISKY,12,7,5,4010.51,28073.57,CARD,1,4
C0075,NORMAL,22,17,5,7183.63,122121.71,UPI,3,2
C0076,NORMAL,22,17,5,3344.1,56849.7,UPI,3,2
C0077,RISKY,9,5,4,3012.43,15062.15,UPI,1,3
C0078,NORMAL,9,7,2,3087.31,21611.17,CARD,1,1
C0079,NORMAL,11,8,3,7031.22,56249.76,NETBANKING,1,2
C0080,NORMAL,13,10,3,9100.7,91007.0,UPI,1,2
C0081,RELIABLE,18,16,2,8378.81,134060.96,UPI,1,1
C0082,RELIABLE,29,26,3,1742.79,45312.54,NETBANKING,2,1
C0083,RELIABLE,19,17,2,5740.96,97596.32,WALLET,1,1
C0084,NORMAL,8,6,2,1214.82,7288.92,CARD,1,1
C0085,NORMAL,16,12,4,6033.84,72406.08,CARD,2,2
C0086,NORMAL,6,4,2,3428.45,13713.8,UPI,1,1
C0087,RISKY,11,6,5,6979.63,41877.78,UPI,1,4
C0088,NORMAL,22,17,5,8899.28,151287.76,WALLET,3,2
C0089,RISKY,28,16,12,1968.26,31492.16,CARD,4,8
C0090,RISKY,30,18,12,8202.33,147641.94,WALLET,4,8
C0091,RELIABLE,28,25,3,9282.63,232065.75,WALLET,2,1
C0092,RISKY,28,16,12,8202.12,131233.92,NETBANKING,4,8
C0093,RELIABLE,27,24,3,1526.91,36645.84,UPI,2,1
C0094,RISKY,12,7,5,2395.94,16771.58,WALLET,1,4
C0095,NORMAL,30,24,6,8777.57,210661.68,CARD,3,3
C0096,RELIABLE,11,10,1,4285.43,42854.3,NETBANKING,0,1
C0097,RISKY,29,17,12,3151.69,53578.73,WALLET,4,8
C0098,NORMAL,22,17,5,3645.92,61980.64,UPI,3,2
C0099,RELIABLE,13,11,2,2196.39,24160.29,NETBANKING,1,1
C0100,RELIABLE,24,22,2,4628.36,101823.92,NETBANKING,1,1
C0101,NORMAL,21,16,5,1598.63,25578.08,CARD,3,2
C0102,RELIABLE,27,24,3,4642.55,111421.2,CARD,2,1
C0103,NORMAL,7,5,2,9514.31,47571.55,NETBANKING,1,1
C0104,NORMAL,26,20,6,8556.15,171123.0,NETBANKING,3,3
C0105,NORMAL,26,20,6,4379.73,87594.6,WALLET,3,3
C0106,NORMAL,22,17,5,1709.23,29056.91,WALLET,3,2
C0107,NORMAL,17,13,4,6934.52,90148.76,CARD,2,2
C0108,NORMAL,14,11,3,4357.71,47934.81,UPI,1,2
C0109,NORMAL,11,8,3,4583.94,36671.52,NETBANKING,1,2
C0110,NORMAL,19,15,4,6918.46,103776.9,WALLET,2,2
C0111,NORMAL,30,24,6,7491.63,179799.12,UPI,3,3
C0112,RELIABLE,26,23,3,6512.94,149797.62,NETBANKING,2,1
C0113,RELIABLE,29,26,3,2731.25,71012.5,NETBANKING,2,1
C0114,RELIABLE,11,10,1,1899.86,18998.6,UPI,0,1
C0115,RELIABLE,20,18,2,6307.1,113527.8,UPI,1,1
C0116,NORMAL,25,20,5,5968.87,119377.4,WALLET,3,2
C0117,NORMAL,12,9,3,1901.93,17117.37,UPI,1,2
C0118,RISKY,29,17,12,8911.92,151502.64,WALLET,4,8
C0119,RELIABLE,30,27,3,9600.68,259218.36,WALLET,2,1
C0120,RELIABLE,12,11,1,9215.97,101375.67,UPI,0,1
C0121,NORMAL,30,24,6,4914.11,117938.64,NETBANKING,3,3
C0122,RISKY,19,11,8,6320.2,69522.2,WALLET,2,6
C0123,RISKY,22,13,9,4736.18,61570.34,CARD,3,6
C0124,NORMAL,20,16,4,4775.66,76410.56,CARD,2,2
C0125,RISKY,13,7,6,7775.23,54426.61,WALLET,2,4
C0126,NORMAL,13,10,3,4678.79,46787.9,NETBANKING,1,2
C0127,RELIABLE,15,13,2,3537.24,45984.12,UPI,1,1
C0128,RELIABLE,12,11,1,4138.84,45527.24,CARD,0,1
C0129,NORMAL,7,5,2,4441.25,22206.25,NETBANKING,1,1
C0130,NORMAL,18,14,4,1091.52,15281.28,WALLET,2,2
C0131,NORMAL,29,23,6,6048.75,139121.25,UPI,3,3
C0132,RISKY,29,17,12,5969.06,101474.02,WALLET,4,8
C0133,RELIABLE,16,14,2,3336.82,46715.48,WALLET,1,1
C0134,RISKY,18,10,8,5613.1,56131.0,CARD,2,6
C0135,NORMAL,13,10,3,4640.44,46404.4,UPI,1,2
C0136,NORMAL,26,20,6,6951.85,139037.0,WALLET,3,3
C0137,NORMAL,19,15,4,9235.65,138534.75,UPI,2,2
C0138,RISKY,23,13,10,5861.72,76202.36,UPI,3,7
C0139,RELIABLE,18,16,2,1789.15,28626.4,WALLET,1,1
C0140,RELIABLE,13,11,2,4101.49,45116.39,CARD,1,1
C0141,NORMAL,15,12,3,7731.68,92780.16,WALLET,1,2
C0142,RELIABLE,18,16,2,2896.58,46345.28,UPI,1,1
C0143,NORMAL,28,22,6,5624.48,123738.56,NETBANKING,3,3
C0144,RELIABLE,7,6,1,7921.71,47530.26,UPI,0,1
C0145,NORMAL,12,9,3,2393.93,21545.37,UPI,1,2
C0146,NORMAL,12,9,3,1699.1,15291.9,UPI,1,2
C0147,NORMAL,11,8,3,4917.82,39342.56,NETBANKING,1,2
C0148,NORMAL,10,8,2,6255.98,50047.84,UPI,1,1
C0149,NORMAL,10,8,2,9664.85,77318.8,UPI,1,1
C0150,NORMAL,14,11,3,5970.07,65670.77,WALLET,1,2
C0151,NORMAL,27,21,6,2384.13,50066.73,CARD,3,3
C0152,RELIABLE,29,26,3,3365.04,87491.04,UPI,2,1
C0153,NORMAL,23,18,5,7935.04,142830.72,NETBANKING,3,2
C0154,NORMAL,26,20,6,4020.42,80408.4,NETBANKING,3,3
C0155,RELIABLE,18,16,2,8312.14,132994.24,UPI,1,1
C0156,NORMAL,16,12,4,6538.06,78456.72,WALLET,2,2
C0157,NORMAL,18,14,4,2173.3,30426.2,NETBANKING,2,2
C0158,NORMAL,22,17,5,7859.09,133604.53,WALLET,3,2
C0159,NORMAL,28,22,6,6128.51,134827.22,NETBANKING,3,3
C0160,RISKY,7,4,3,3149.82,12599.28,WALLET,1,2
C0161,RELIABLE,19,17,2,5913.57,100530.69,WALLET,1,1
C0162,NORMAL,20,16,4,8584.05,137344.8,CARD,2,2
C0163,NORMAL,16,12,4,8079.41,96952.92,NETBANKING,2,2
C0164,RELIABLE,24,22,2,7161.25,157547.5,NETBANKING,1,1
C0165,NORMAL,21,16,5,9506.59,152105.44,UPI,3,2
C0166,RELIABLE,18,16,2,5141.49,82263.84,CARD,1,1
C0167,NORMAL,25,20,5,7262.5,145250.0,WALLET,3,2
C0168,NORMAL,7,5,2,3295.24,16476.2,WALLET,1,1
C0169,NORMAL,14,11,3,6807.62,74883.82,NETBANKING,1,2
C0170,NORMAL,21,16,5,3765.7,60251.2,NETBANKING,3,2
C0171,NORMAL,19,15,4,3073.71,46105.65,NETBANKING,2,2
C0172,RELIABLE,28,25,3,2329.55,58238.75,UPI,2,1
C0173,NORMAL,29,23,6,7056.55,162300.65,CARD,3,3
C0174,RELIABLE,20,18,2,3126.75,56281.5,NETBANKING,1,1
C0175,RISKY,11,6,5,3314.34,19886.04,NETBANKING,1,4
C0176,RELIABLE,5,4,1,7226.18,28904.72,CARD,0,1
C0177,RELIABLE,6,5,1,5756.91,28784.55,CARD,0,1
C0178,NORMAL,29,23,6,5163.35,118757.05,UPI,3,3
C0179,NORMAL,20,16,4,5047.78,80764.48,NETBANKING,2,2
C0180,RELIABLE,6,5,1,2898.54,14492.7,WALLET,0,1
C0181,RELIABLE,7,6,1,4306.72,25840.32,UPI,0,1
C0182,NORMAL,26,20,6,1009.29,20185.8,CARD,3,3
C0183,RISKY,14,8,6,1309.22,10473.76,CARD,2,4
C0184,RELIABLE,29,26,3,4453.65,115794.9,CARD,2,1
C0185,NORMAL,17,13,4,4779.89,62138.57,WALLET,2,2
C0186,RELIABLE,23,21,2,9905.3,208011.3,NETBANKING,1,1
C0187,NORMAL,6,4,2,6291.49,25165.96,UPI,1,1
C0188,RISKY,11,6,5,6442.39,38654.34,NETBANKING,1,4
C0189,NORMAL,10,8,2,2778.72,22229.76,UPI,1,1
C0190,RELIABLE,18,16,2,4779.79,76476.64,WALLET,1,1
C0191,RELIABLE,12,11,1,3237.0,35607.0,NETBANKING,0,1
C0192,NORMAL,19,15,4,1176.21,17643.15,CARD,2,2
C0193,RISKY,30,18,12,8016.85,144303.3,CARD,4,8
C0194,NORMAL,22,17,5,2635.69,44806.73,CARD,3,2
C0195,RISKY,9,5,4,1178.39,5891.95,CARD,1,3
C0196,NORMAL,24,19,5,7615.1,144686.9,NETBANKING,3,2
C0197,NORMAL,19,15,4,7042.44,105636.6,WALLET,2,2
C0198,RISKY,21,12,9,5629.82,67557.84,WALLET,3,6
C0199,RELIABLE,6,5,1,8949.52,44747.6,NETBANKING,0,1
C0200,NORMAL,5,4,1,1367.61,5470.44,UPI,0,1
C0201,RISKY,26,15,11,8303.5,124552.5,UPI,3,8
C0202,NORMAL,10,8,2,4969.76,39758.08,WALLET,1,1
C0203,RISKY,10,6,4,9970.98,59825.88,WALLET,1,3
C0204,NORMAL,20,16,4,9706.02,155296.32,WALLET,2,2
C0205,NORMAL,15,12,3,3550.05,42600.6,UPI,1,2
C0206,RISKY,15,9,6,4410.63,39695.67,WALLET,2,4
C0207,RELIABLE,17,15,2,8228.88,123433.2,UPI,1,1
C0208,NORMAL,15,12,3,2897.79,34773.48,UPI,1,2
C0209,RISKY,17,10,7,8716.65,87166.5,UPI,2,5
C0210,NORMAL,22,17,5,4888.78,83109.26,UPI,3,2
C0211,RELIABLE,16,14,2,6415.02,89810.28,WALLET,1,1
C0212,NORMAL,29,23,6,990.31,22777.13,NETBANKING,3,3
C0213,NORMAL,14,11,3,4662.1,51283.1,WALLET,1,2
C0214,RELIABLE,25,23,2,6284.28,144538.44,CARD,1,1
C0215,NORMAL,14,11,3,5732.97,63062.67,WALLET,1,2
C0216,RELIABLE,8,7,1,4883.75,34186.25,UPI,0,1
C0217,NORMAL,9,7,2,5234.57,36641.99,NETBANKING,1,1
C0218,NORMAL,13,10,3,4447.16,44471.6,WALLET,1,2
C0219,RISKY,12,7,5,4839.47,33876.29,CARD,1,4
C0220,NORMAL,24,19,5,5328.29,101237.51,CARD,3,2
C0221,RISKY,13,7,6,7840.41,54882.87,WALLET,2,4
C0222,NORMAL,30,24,6,5323.51,127764.24,UPI,3,3
C0223,RELIABLE,14,12,2,8456.02,101472.24,WALLET,1,1
C0224,RISKY,19,11,8,5616.52,61781.72,NETBANKING,2,6
C0225,NORMAL,29,23,6,5662.59,130239.57,WALLET,3,3
C0226,RISKY,11,6,5,9817.36,58904.16,CARD,1,4
C0227,NORMAL,12,9,3,8632.12,77689.08,WALLET,1,2
C0228,RELIABLE,28,25,3,4993.27,124831.75,WALLET,2,1
C0229,NORMAL,26,20,6,8027.74,160554.8,CARD,3,3
C0230,NORMAL,6,4,2,1699.34,6797.36,NETBANKING,1,1
C0231,RISKY,19,11,8,1447.26,15919.86,WALLET,2,6
C0232,RELIABLE,9,8,1,4394.8,35158.4,CARD,0,1
C0233,RELIABLE,30,27,3,9707.43,262100.61,NETBANKING,2,1
C0234,NORMAL,17,13,4,6673.45,86754.85,NETBANKING,2,2
C0235,RISKY,22,13,9,4110.09,53431.17,NETBANKING,3,6
C0236,NORMAL,29,23,6,5135.5,118116.5,UPI,3,3
C0237,NORMAL,12,9,3,6496.03,58464.27,NETBANKING,1,2
C0238,RISKY,28,16,12,1358.6,21737.6,UPI,4,8
C0239,NORMAL,27,21,6,8789.5,184579.5,WALLET,3,3
C0240,RELIABLE,14,12,2,9082.53,108990.36,UPI,1,1
C0241,NORMAL,6,4,2,3286.99,13147.96,NETBANKING,1,1
C0242,NORMAL,12,9,3,5546.08,49914.72,CARD,1,2
C0243,RELIABLE,7,6,1,6290.17,37741.02,WALLET,0,1
C0244,NORMAL,12,9,3,5227.84,47050.56,CARD,1,2
C0245,RELIABLE,25,23,2,2912.78,66993.94,NETBANKING,1,1
C0246,NORMAL,30,24,6,4919.91,118077.84,NETBANKING,3,3
C0247,NORMAL,10,8,2,1201.69,9613.52,NETBANKING,1,1
C0248,RISKY,14,8,6,6569.92,52559.36,WALLET,2,4
C0249,NORMAL,19,15,4,8530.39,127955.85,CARD,2,2
C0250,RISKY,20,12,8,1513.21,18158.52,WALLET,2,6
C0251,NORMAL,23,18,5,3310.79,59594.22,NETBANKING,3,2
C0252,RELIABLE,26,23,3,4260.15,97983.45,UPI,2,1
C0253,NORMAL,26,20,6,7893.96,157879.2,UPI,3,3
C0254,RISKY,28,16,12,5218.91,83502.56,NETBANKING,4,8
C0255,NORMAL,12,9,3,6267.12,56404.08,NETBANKING,1,2
C0256,RELIABLE,11,10,1,6398.47,63984.7,CARD,0,1
C0257,NORMAL,25,20,5,6640.24,132804.8,NETBANKING,3,2
C0258,NORMAL,6,4,2,6005.95,24023.8,CARD,1,1
C0259,RELIABLE,14,12,2,3603.83,43245.96,WALLET,1,1
C0260,RELIABLE,9,8,1,7971.87,63774.96,NETBANKING,0,1
C0261,NORMAL,13,10,3,8389.49,83894.9,NETBANKING,1,2
C0262,RISKY,20,12,8,9690.15,116281.8,NETBANKING,2,6
C0263,NORMAL,15,12,3,8140.21,97682.52,WALLET,1,2
C0264,RISKY,9,5,4,7664.44,38322.2,CARD,1,3
C0265,RISKY,28,16,12,6906.86,110509.76,WALLET,4,8
C0266,RISKY,30,18,12,5794.47,104300.46,UPI,4,8
C0267,NORMAL,5,4,1,3012.36,12049.44,UPI,0,1
C0268,NORMAL,26,20,6,7615.61,152312.2,NETBANKING,3,3
C0269,NORMAL,25,20,5,9432.77,188655.4,UPI,3,2
C0270,NORMAL,20,16,4,737.73,11803.68,NETBANKING,2,2
C0271,RISKY,12,7,5,6652.7,46568.9,WALLET,1,4
C0272,RISKY,14,8,6,6667.77,53342.16,UPI,2,4
C0273,RELIABLE,6,5,1,3391.46,16957.3,WALLET,0,1
C0274,RELIABLE,12,11,1,8928.96,98218.56,CARD,0,1
C0275,NORMAL,16,12,4,6869.62,82435.44,WALLET,2,2
C0276,NORMAL,28,22,6,1967.97,43295.34,WALLET,3,3
C0277,NORMAL,20,16,4,6348.7,101579.2,NETBANKING,2,2
C0278,RELIABLE,16,14,2,2564.06,35896.84,WALLET,1,1
C0279,RISKY,16,9,7,1443.87,12994.83,NETBANKING,2,5
C0280,NORMAL,25,20,5,3907.4,78148.0,WALLET,3,2
C0281,RELIABLE,8,7,1,9515.6,66609.2,WALLET,0,1
C0282,RELIABLE,11,10,1,6596.19,65961.9,UPI,0,1
C0283,RELIABLE,15,13,2,2813.9,36580.7,CARD,1,1
C0284,NORMAL,11,8,3,1151.8,9214.4,CARD,1,2
C0285,NORMAL,12,9,3,3621.32,32591.88,CARD,1,2
C0286,NORMAL,24,19,5,526.94,10011.86,CARD,3,2
C0287,RISKY,22,13,9,2881.21,37455.73,CARD,3,6
C0288,RELIABLE,5,4,1,1752.13,7008.52,NETBANKING,0,1
C0289,NORMAL,12,9,3,6094.1,54846.9,UPI,1,2
C0290,RELIABLE,6,5,1,1704.21,8521.05,WALLET,0,1
C0291,NORMAL,28,22,6,1103.8,24283.6,WALLET,3,3
C0292,NORMAL,21,16,5,6139.83,98237.28,WALLET,3,2
C0293,NORMAL,24,19,5,911.97,17327.43,NETBANKING,3,2
C0294,NORMAL,5,4,1,1077.84,4311.36,WALLET,0,1
C0295,RISKY,18,10,8,7017.93,70179.3,WALLET,2,6
C0296,NORMAL,19,15,4,1198.16,17972.4,UPI,2,2
C0297,NORMAL,9,7,2,1123.98,7867.86,NETBANKING,1,1
C0298,NORMAL,23,18,5,5709.39,102769.02,NETBANKING,3,2
C0299,NORMAL,24,19,5,5540.29,105265.51,WALLET,3,2
C0300,NORMAL,18,14,4,1442.2,20190.8,UPI,2,2
C0301,RISKY,25,15,10,8838.21,132573.15,CARD,3,7
C0302,NORMAL,12,9,3,4431.23,39881.07,WALLET,1,2
C0303,NORMAL,28,22,6,1403.32,30873.04,WALLET,3,3
C0304,NORMAL,13,10,3,4055.86,40558.6,CARD,1,2
C0305,NORMAL,20,16,4,1137.77,18204.32,UPI,2,2
C0306,RELIABLE,8,7,1,7573.6,53015.2,NETBANKING,0,1
C0307,RISKY,22,13,9,1069.82,13907.66,NETBANKING,3,6
C0308,NORMAL,18,14,4,3859.18,54028.52,WALLET,2,2
C0309,RISKY,28,16,12,988.74,15819.84,NETBANKING,4,8
C0310,NORMAL,16,12,4,1484.21,17810.52,CARD,2,2
C0311,RELIABLE,20,18,2,2630.33,47345.94,UPI,1,1
C0312,NORMAL,22,17,5,3991.83,67861.11,NETBANKING,3,2
C0313,NORMAL,30,24,6,4576.57,109837.68,UPI,3,3
C0314,NORMAL,26,20,6,8379.88,167597.6,NETBANKING,3,3
C0315,RELIABLE,13,11,2,7175.64,78932.04,NETBANKING,1,1
C0316,RISKY,16,9,7,558.0,5022.0,CARD,2,5
C0317,NORMAL,17,13,4,1161.06,15093.78,UPI,2,2
C0318,RELIABLE,21,19,2,2543.76,48331.44,WALLET,1,1
C0319,NORMAL,10,8,2,4015.5,32124.0,NETBANKING,1,1
C0320,NORMAL,23,18,5,6164.13,110954.34,UPI,3,2
C0321,RELIABLE,29,26,3,6369.46,165605.96,UPI,2,1
C0322,RELIABLE,26,23,3,4528.14,104147.22,WALLET,2,1
C0323,NORMAL,11,8,3,7671.96,61375.68,UPI,1,2
C0324,NORMAL,8,6,2,3190.84,19145.04,WALLET,1,1
C0325,NORMAL,14,11,3,931.46,10246.06,WALLET,1,2
C0326,RISKY,6,3,3,573.03,1719.09,NETBANKING,1,2
C0327,RISKY,29,17,12,1803.73,30663.41,NETBANKING,4,8
C0328,RELIABLE,8,7,1,573.43,4014.01,WALLET,0,1
C0329,RELIABLE,17,15,2,5559.53,83392.95,CARD,1,1
C0330,NORMAL,26,20,6,8158.9,163178.0,UPI,3,3
C0331,NORMAL,28,22,6,901.87,19841.14,UPI,3,3
C0332,NORMAL,7,5,2,8690.05,43450.25,WALLET,1,1
C0333,NORMAL,27,21,6,6581.35,138208.35,NETBANKING,3,3
C0334,RELIABLE,5,4,1,9678.9,38715.6,CARD,0,1
C0335,RISKY,24,14,10,4870.92,68192.88,NETBANKING,3,7
C0336,RELIABLE,8,7,1,2811.51,19680.57,WALLET,0,1
C0337,NORMAL,17,13,4,8769.98,114009.74,NETBANKING,2,2
C0338,RELIABLE,29,26,3,2097.26,54528.76,UPI,2,1
C0339,NORMAL,11,8,3,9106.27,72850.16,NETBANKING,1,2
C0340,NORMAL,25,20,5,8242.85,164857.0,CARD,3,2
C0341,RELIABLE,13,11,2,2374.08,26114.88,CARD,1,1
C0342,NORMAL,25,20,5,1215.86,24317.2,WALLET,3,2
C0343,NORMAL,23,18,5,7718.83,138938.94,WALLET,3,2
C0344,NORMAL,23,18,5,6608.42,118951.56,NETBANKING,3,2
C0345,RISKY,25,15,10,3503.32,52549.8,WALLET,3,7
C0346,RELIABLE,19,17,2,6498.16,110468.72,NETBANKING,1,1
C0347,NORMAL,16,12,4,5319.7,63836.4,NETBANKING,2,2
C0348,NORMAL,6,4,2,1040.46,4161.84,NETBANKING,1,1
C0349,RELIABLE,7,6,1,6342.58,38055.48,WALLET,0,1
C0350,NORMAL,22,17,5,9565.2,162608.4,UPI,3,2
C0351,NORMAL,30,24,6,5930.74,142337.76,CARD,3,3
C0352,NORMAL,20,16,4,5262.99,84207.84,UPI,2,2
C0353,NORMAL,30,24,6,9041.7,217000.8,NETBANKING,3,3
C0354,RISKY,7,4,3,5293.22,21172.88,CARD,1,2
C0355,RELIABLE,27,24,3,4658.7,111808.8,WALLET,2,1
C0356,NORMAL,24,19,5,2008.09,38153.71,NETBANKING,3,2
C0357,RISKY,17,10,7,4383.31,43833.1,NETBANKING,2,5
C0358,NORMAL,6,4,2,7997.66,31990.64,NETBANKING,1,1
C0359,RELIABLE,8,7,1,5800.65,40604.55,WALLET,0,1
C0360,RELIABLE,28,25,3,8589.88,214747.0,CARD,2,1
C0361,NORMAL,23,18,5,6804.32,122477.76,NETBANKING,3,2
C0362,NORMAL,25,20,5,7135.56,142711.2,WALLET,3,2
C0363,RELIABLE,27,24,3,9411.02,225864.48,NETBANKING,2,1
C0364,NORMAL,25,20,5,8020.79,160415.8,CARD,3,2
C0365,NORMAL,28,22,6,9973.06,219407.32,UPI,3,3
C0366,NORMAL,18,14,4,5330.64,74628.96,UPI,2,2
C0367,NORMAL,10,8,2,9536.11,76288.88,NETBANKING,1,1
C0368,RISKY,20,12,8,2324.05,27888.6,CARD,2,6
C0369,RELIABLE,14,12,2,8522.07,102264.84,UPI,1,1
C0370,NORMAL,22,17,5,8433.64,143371.88,UPI,3,2
C0371,NORMAL,29,23,6,6371.3,146539.9,WALLET,3,3
C0372,RELIABLE,10,9,1,8397.78,75580.02,CARD,0,1
C0373,NORMAL,6,4,2,4403.16,17612.64,CARD,1,1
C0374,RISKY,24,14,10,3206.82,44895.48,WALLET,3,7
C0375,RELIABLE,12,11,1,3439.95,37839.45,WALLET,0,1
C0376,RISKY,11,6,5,3994.49,23966.94,WALLET,1,4
C0377,NORMAL,14,11,3,7892.18,86813.98,WALLET,1,2
C0378,RISKY,11,6,5,8111.96,48671.76,CARD,1,4
C0379,RISKY,6,3,3,6591.2,19773.6,NETBANKING,1,2
C0380,NORMAL,8,6,2,7258.31,43549.86,UPI,1,1
C0381,RELIABLE,29,26,3,2022.97,52597.22,WALLET,2,1
C0382,RISKY,9,5,4,8394.94,41974.7,UPI,1,3
C0383,RISKY,12,7,5,8258.68,57810.76,NETBANKING,1,4
C0384,RISKY,18,10,8,1005.94,10059.4,NETBANKING,2,6
C0385,RELIABLE,7,6,1,4061.67,24370.02,UPI,0,1
C0386,NORMAL,8,6,2,8472.17,50833.02,NETBANKING,1,1
C0387,NORMAL,9,7,2,863.88,6047.16,WALLET,1,1
C0388,NORMAL,9,7,2,7708.99,53962.93,WALLET,1,1
C0389,NORMAL,5,4,1,9105.65,36422.6,UPI,0,1
C0390,RELIABLE,9,8,1,5713.64,45709.12,WALLET,0,1
C0391,RELIABLE,14,12,2,2757.58,33090.96,UPI,1,1
C0392,RELIABLE,18,16,2,6570.04,105120.64,WALLET,1,1
C0393,RELIABLE,20,18,2,6169.02,111042.36,UPI,1,1
C0394,NORMAL,23,18,5,2798.41,50371.38,CARD,3,2
